task,level,domain,field,subfield,n_substeps,researcher_hours,elapsed_hours,confidence
Apply resampling methods such as bootstrapping and cross-validation to quantify uncertainty in model estimates.,subfield,Formal Sciences,Statistics,Statistical Computing,10,4.57,5.15,medium
Program iterative algorithms for fitting models when closed-form solutions are unavailable.,subfield,Formal Sciences,Statistics,Statistical Computing,10,13.87,13.87,medium
Diagnose and address numerical convergence issues in estimation procedures.,subfield,Formal Sciences,Statistics,Statistical Computing,12,10.08,11.32,medium
Apply a proposed method or technique to real-world data or cases to demonstrate its practical applicability and the interpretation of its results.,domain,Formal Sciences,Statistics,Statistical Computing,10,57.25,76.42,medium
Develop coding schemes and classification rules that operationalize methodological features of published studies as analysis variables.,subfield,Formal Sciences,Statistics,Statistical Computing,12,34.63,78.22,medium
Compute exact distributional properties of estimators and monitoring procedures through deterministic analytic or numerical computation.,subfield,Formal Sciences,Statistics,Statistical Computing,10,37.17,42.67,medium
Formulate research questions using Bayesian decision-theoretic frameworks to quantify risks and expected utilities.,subfield,Formal Sciences,Statistics,Bayesian Statistics,12,18.58,106.83,medium
Frame hypotheses in terms of prior distributions and updating mechanisms to reflect existing theoretical knowledge.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,27.17,39.5,medium
Evaluate the sensitivity of posterior inferences to prior specifications across different population subgroups.,subfield,Formal Sciences,Statistics,Bayesian Statistics,9,18.58,25.58,medium
Assess the transportability of Bayesian model parameters and predictions to new contexts or populations.,subfield,Formal Sciences,Statistics,Bayesian Statistics,12,29.33,42.58,medium
Specify informative or weakly informative prior distributions based on domain knowledge and previous studies.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,26.05,75.28,medium
Determine sample sizes or data collection conditions by optimizing prespecified design criteria for the intended inference.,subfield,Formal Sciences,Statistics,Bayesian Statistics,12,29.08,70.33,medium
Design measurement protocols that capture uncertainty and variability needed for probabilistic modeling.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,41.83,119.17,medium
Develop data collection instruments that elicit prior beliefs or subjective probability judgments from respondents.,subfield,Formal Sciences,Statistics,Bayesian Statistics,12,59.08,193.08,medium
Acquire benchmark datasets with known ground truth for validating Bayesian inference procedures.,subfield,Formal Sciences,Statistics,Bayesian Statistics,13,38.73,83.17,medium
Structure observed data into likelihood functions appropriate for Bayesian model specification.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,7.62,9.0,medium
Implement Markov chain Monte Carlo sampling algorithms to estimate posterior distributions.,subfield,Formal Sciences,Statistics,Bayesian Statistics,8,7.28,9.32,medium
Conduct posterior predictive checks to assess model fit and identify systematic discrepancies.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,4.62,4.88,medium
Perform sensitivity analyses to evaluate how conclusions change under alternative prior specifications.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,14.48,22.07,medium
Propagate measurement uncertainty through hierarchical models to obtain calibrated interval estimates.,subfield,Formal Sciences,Statistics,Bayesian Statistics,11,26.45,63.38,medium
Compare competing models using Bayes factors or information criteria to guide model selection.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,14.53,25.28,medium
"Diagnose convergence of sampling algorithms using trace plots, effective sample sizes, and diagnostic statistics.",subfield,Formal Sciences,Statistics,Bayesian Statistics,10,4.28,10.13,medium
Quantify and communicate posterior uncertainty in risk estimates for decision-making applications.,subfield,Formal Sciences,Statistics,Bayesian Statistics,12,13.83,18.82,medium
"Specify dependence structures, such as distance-based weight matrices or adjacency matrices, to encode relationships among observations before fitting.",field,Formal Sciences,Statistics,Bayesian Statistics,8,8.03,8.12,medium
Establish theoretical correspondences among alternative inferential frameworks to characterize their assumptions and approximation relationships.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,97.58,112.58,medium
Construct surrogate models or emulators that cheaply approximate expensive simulators for use in Bayesian inference and design.,subfield,Formal Sciences,Statistics,Bayesian Statistics,12,30.83,172.5,medium
Compare prior distributions against observed data or resulting posteriors to diagnose prior-data conflict and prior informativeness.,subfield,Formal Sciences,Statistics,Bayesian Statistics,10,8.9,12.63,medium
Model selective publication or significance-based selection mechanisms to evaluate their distorting effects on inferential procedures.,subfield,Formal Sciences,Statistics,Bayesian Statistics,13,31.92,48.75,medium
Frame research questions around multivariate relationships and latent constructs underlying observed variables.,subfield,Formal Sciences,Statistics,Multivariate Analysis,8,41.82,41.82,medium
Evaluate whether multivariate models and covariance structures will replicate across different samples or populations.,subfield,Formal Sciences,Statistics,Multivariate Analysis,12,31.1,33.07,medium
Test measurement invariance across groups to ensure valid comparisons of latent constructs.,subfield,Formal Sciences,Statistics,Multivariate Analysis,12,10.42,10.65,medium
Design measurement batteries with multiple indicators per construct to enable latent variable modeling.,subfield,Formal Sciences,Statistics,Multivariate Analysis,9,31.55,263.55,medium
Select and validate scale items to ensure adequate factor loadings and internal consistency for multivariate analysis.,subfield,Formal Sciences,Statistics,Multivariate Analysis,11,23.5,23.5,medium
Collect data with sufficient variables and observations to support stable covariance matrix estimation.,subfield,Formal Sciences,Statistics,Multivariate Analysis,10,43.27,676.77,medium
"Construct and calibrate sequential monitoring procedures, such as control charts, to detect shifts in a process across successive samples.",field,Formal Sciences,Statistics,Multivariate Analysis,10,24.75,31.08,medium
Screen data for multivariate outliers using distance measures and leverage diagnostics.,subfield,Formal Sciences,Statistics,Multivariate Analysis,12,7.45,8.32,medium
Assess multivariate normality assumptions and apply transformations when distributional requirements are violated.,subfield,Formal Sciences,Statistics,Multivariate Analysis,11,5.28,5.28,medium
Handle missing data using multiple imputation or maximum likelihood methods appropriate for multivariate structures.,subfield,Formal Sciences,Statistics,Multivariate Analysis,11,10.97,12.02,medium
Specify and estimate structural equation models to test hypothesized relationships among latent and observed variables.,subfield,Formal Sciences,Statistics,Multivariate Analysis,10,17.1,17.32,medium
Conduct exploratory or confirmatory factor analysis to identify underlying dimensional structures in multivariate data.,subfield,Formal Sciences,Statistics,Multivariate Analysis,15,17.32,18.18,medium
Evaluate model fit using multiple indices and modify specifications based on theoretical and empirical criteria.,subfield,Formal Sciences,Statistics,Multivariate Analysis,10,6.58,6.65,medium
Perform multivariate analysis of variance to test group differences across multiple dependent variables simultaneously.,subfield,Formal Sciences,Statistics,Multivariate Analysis,12,7.85,7.85,high
Apply dimension reduction techniques to extract meaningful components from high-dimensional variable sets.,subfield,Formal Sciences,Statistics,Multivariate Analysis,10,7.42,7.87,medium
Interpret standardized coefficients and effect sizes within multivariate models to assess relative variable importance.,subfield,Formal Sciences,Statistics,Multivariate Analysis,11,6.3,6.3,medium
"Select tuning parameters, such as smoothing bandwidths or model order, from data-driven criteria to govern the complexity of a fitted procedure.",field,Formal Sciences,Statistics,Multivariate Analysis,8,4.58,7.83,medium
Derive new indices or fit statistics analytically from model parameters or summary statistics to characterize multivariate solutions.,subfield,Formal Sciences,Statistics,Multivariate Analysis,10,45.75,89.25,low
Specify and estimate multivariate models that incorporate spatial or temporal dependence structures in the data.,subfield,Formal Sciences,Statistics,Multivariate Analysis,12,30.83,46.33,medium
Diagnose violations of multivariate modeling assumptions such as multicollinearity and independence of observations.,subfield,Formal Sciences,Statistics,Multivariate Analysis,10,4.87,4.87,medium
Construct decision rules or bounds from sample data together with quantitative assessments of their error.,field,Formal Sciences,Statistics,Multivariate Analysis,8,38.08,47.25,medium
Evaluate whether nonparametric test assumptions hold across different populations or sampling contexts.,subfield,Formal Sciences,Statistics,Nonparametric Methods,9,10.88,11.55,medium
Design rating scales or ordinal response formats suitable for rank-based statistical analysis.,subfield,Formal Sciences,Statistics,Nonparametric Methods,12,15.78,108.28,medium
Structure data collection procedures to yield paired or matched observations for nonparametric comparison tests.,subfield,Formal Sciences,Statistics,Nonparametric Methods,9,10.47,47.55,medium
"Specify dependence structures, such as distance-based weight matrices or adjacency matrices, to encode relationships among observations before fitting.",field,Formal Sciences,Statistics,Nonparametric Methods,8,7.17,7.17,medium
Select appropriate inter-rater reliability coefficients based on measurement scale and number of raters.,subfield,Formal Sciences,Statistics,Nonparametric Methods,8,1.72,1.72,medium
Apply permutation or resampling methods to construct confidence intervals without distributional assumptions.,subfield,Formal Sciences,Statistics,Nonparametric Methods,10,3.18,3.65,medium
Conduct rank-based hypothesis tests for comparing groups when normality assumptions are violated.,subfield,Formal Sciences,Statistics,Nonparametric Methods,11,3.52,3.58,medium
Assess measurement reliability using nonparametric approaches appropriate for ordinal or skewed data.,subfield,Formal Sciences,Statistics,Nonparametric Methods,6,5.05,5.25,medium
Interpret agreement coefficients in the context of chance-corrected versus raw agreement.,subfield,Formal Sciences,Statistics,Nonparametric Methods,9,3.88,4.08,medium
Apply a proposed method or technique to real-world data or cases to demonstrate its practical applicability and the interpretation of its results.,domain,Formal Sciences,Statistics,Nonparametric Methods,10,38.83,43.5,medium
"Select tuning parameters, such as smoothing bandwidths or model order, from data-driven criteria to govern the complexity of a fitted procedure.",field,Formal Sciences,Statistics,Nonparametric Methods,8,3.97,5.3,medium
"Construct and calibrate sequential monitoring procedures, such as control charts, to detect shifts in a process across successive samples.",field,Formal Sciences,Statistics,Nonparametric Methods,10,43.75,64.0,medium
Construct decision rules or bounds from sample data together with quantitative assessments of their error.,field,Formal Sciences,Statistics,Nonparametric Methods,8,59.0,68.67,medium
Estimate unknown regression or response functions using nonparametric smoothing or basis-expansion methods.,subfield,Formal Sciences,Statistics,Nonparametric Methods,11,7.27,7.98,medium
"Characterize distributional or structural features of data and procedures without relying on parametric assumptions, to justify model specification.",subfield,Formal Sciences,Statistics,Nonparametric Methods,7,7.07,7.68,medium
Analyze association between categorical or ordinal variables using distribution-free measures and tests of independence.,subfield,Formal Sciences,Statistics,Nonparametric Methods,10,7.13,8.12,medium
Derive multiplicity-adjusted critical values or p-values for simultaneous inference across many tests.,subfield,Formal Sciences,Statistics,Nonparametric Methods,10,14.13,17.27,medium
Formulate hypotheses about factors influencing surgical outcomes and postoperative complications in companion and equine patients.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,9,29.28,128.95,medium
"Develop research questions comparing medical and surgical treatment approaches for common clinical conditions in dogs, cats, and horses.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,9,37.72,203.55,medium
"Generate hypotheses about tumor biology, treatment response, and prognostic factors in veterinary oncology patients.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,10,84.5,1683.5,medium
"Formulate questions about the pharmacokinetics, efficacy, and safety of anesthetic and analgesic agents across animal species.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,10,30.83,137.58,medium
Develop hypotheses about the biomechanical and neurological mechanisms underlying orthopedic and neurological disease in animals.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,10,81.67,220.67,medium
Formulate hypotheses about lameness and performance-limiting conditions in equine athletes.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,10,62.25,111.92,medium
"Design prospective clinical trials in client-owned animals with clinically relevant endpoints such as survival, return to function, and quality of life.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,12,101.83,1488.0,medium
Design randomized controlled trials comparing surgical techniques while accounting for patient signalment and disease severity.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,14,69.83,1266.17,medium
Establish standardized outcome measures and complication definitions for multi-institutional veterinary clinical studies.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,12,472.92,4902.92,medium
Obtain owner consent for enrollment of client-owned animals in clinical trials and for use of surgical and biological specimens.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,12,1.98,5.95,medium
"Prepare institutional animal care and clinical trial protocols detailing anesthesia, analgesia, and humane endpoints.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,13,21.92,812.75,medium
Derive threshold or reference values from population data to classify individuals or samples,domain,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,10,33.92,134.92,medium
Design observational studies of animal patients to quantify disease occurrence and risk factors,field,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,11,36.67,1016.75,medium
Assess the reliability and precision of measurements through replicate testing and comparison with reference procedures,domain,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,11,37.67,552.25,medium
Perform and document surgical procedures in individual clinical patients to describe technique and outcome.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,17,130.13,458.4,medium
Administer therapeutic regimens to affected animals outside formal trials and monitor their clinical response.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,13,13.88,1040.98,medium
"Prepare and verify the composition of drugs, diets, and other test materials administered in animal studies.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,11,22.98,1194.7,medium
Instrument animals and record continuous cardiopulmonary variables during anesthesia and experimental procedures.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,17,7.17,9.43,high
Measure limb and joint function to quantify lameness severity and treatment response in animals.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,14,116.4,13497.73,medium
Record video of animal behavior and recovery for standardized blinded post-hoc scoring.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,11,59.52,253.42,medium
"Acquire preoperative and postoperative imaging such as radiographs, CT, or MRI to guide surgical planning and assess outcomes in animal patients.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,12,4.1,5.87,medium
Collect biopsy and surgical tissue specimens for histopathology and molecular characterization of animal disease.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,12,3.52,3.73,medium
Extract clinical records from veterinary teaching hospital databases to assemble retrospective case cohorts.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,11,104.75,646.17,medium
Perform clinical and specialty examinations of individual animal patients to characterize disease presentation and establish diagnoses.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,10,2.37,5.6,medium
Perform laboratory assays on blood and body fluid samples to quantify biomarker and biochemical concentrations in animal patients.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,11,24.27,35.85,medium
"Establish case-classification criteria for coding disease etiology, lesion type, and outcome in retrospective record reviews.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,13,44.75,49.75,medium
Conduct follow-up examinations and owner interviews after treatment to ascertain long-term outcome and recurrence.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,10,199.77,7404.25,medium
Perform quantitative morphometric measurements on images to characterize anatomic structures in animals.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,11,33.42,37.42,medium
Classify and grade tumor specimens by applying standardized histopathologic and immunophenotypic criteria.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,11,48.87,71.53,medium
Perform postmortem examination to characterize gross and histologic lesions and establish cause of death in animals.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,15,8.82,151.68,medium
Perform organ function testing to quantify physiologic function in animal patients.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,12,3.17,26.73,medium
"Analyze time-to-event outcomes such as survival, tumor recurrence, or return to athletic function following veterinary treatment.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,13,48.58,75.42,medium
"Estimate treatment effects while adjusting for comorbidities, breed, and disease stage using appropriate statistical models.",subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,12,20.83,20.83,medium
Evaluate the diagnostic accuracy of a test by comparing its results against an established reference standard,domain,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,9,113.75,1002.25,medium
Report clinical trial results and surgical case series in veterinary journals and continuing-education venues for practitioners.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,12,87.67,2027.92,medium
Develop and evaluate clinical teaching methods and competency assessments for veterinary students and surgical residents.,subfield,Life Sciences,Veterinary Medicine,Veterinary Clinical Sciences & Surgery,15,268.0,4192.0,medium
Formulate hypotheses about pathogen transmission dynamics and the maintenance of infection within animal populations.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",11,66.03,83.78,medium
Develop hypotheses regarding zoonotic spillover of pathogens from wildlife or livestock reservoirs to humans at the animal-human interface.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",10,87.7,232.7,medium
Generate hypotheses about vaccine efficacy and correlates of protection against infectious diseases in target animal species.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",9,54.42,62.5,medium
Develop hypotheses about vector competence and the ecological drivers of vector-borne disease transmission among animals.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",10,87.42,500.67,medium
"Formulate questions about virulence factors, immune evasion, and host immune responses to animal pathogens.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",9,54.5,78.83,medium
Develop hypotheses about antimicrobial resistance emergence in animal pathogens and its implications for animal and human health.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",10,78.58,371.58,medium
Design surveillance studies to detect and monitor emerging and endemic zoonotic pathogens in animal reservoirs.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",12,117.0,1436.33,medium
"Design observational studies to identify risk factors for infection and disease spread within herds, flocks, and wildlife populations.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",13,93.67,779.67,medium
"Design One Health studies that jointly sample animals, humans, and the environment to trace cross-species transmission.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",14,183.5,1651.5,medium
Plan vaccine and antimicrobial trials in animals with microbiological and clinical endpoints.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",15,66.33,1276.17,medium
Collect information from local stakeholders through interviews or questionnaires to document their knowledge and practices,domain,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",10,212.33,1057.33,medium
Assess the reliability and precision of measurements through replicate testing and comparison with reference procedures,domain,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",11,43.5,77.58,medium
"Evaluate the timeliness, completeness, and coverage of animal disease surveillance and reporting systems.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",12,128.0,1129.0,medium
Annotate genome sequences of pathogens or vectors to catalogue gene content and classify gene families.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",10,51.55,183.23,medium
"Design survey and interview instruments to assess stakeholder practices, perceptions, and institutional capacity relevant to animal disease control.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",13,86.0,495.17,medium
"Collect blood, tissue, and swab specimens from animals for pathogen detection, culture, and molecular characterization.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",11,29.77,46.23,medium
"Conduct field sampling of wildlife, livestock, and arthropod vectors to assess pathogen prevalence at the animal-human interface.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",12,463.33,3893.08,low
"Obtain serial samples from animals to track pathogen load, seroconversion, and immune responses over the course of infection.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",11,161.45,904.85,medium
Evaluate the diagnostic accuracy of a test by comparing its results against an established reference standard,domain,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",9,69.75,587.18,medium
"Estimate disease prevalence, incidence, and transmission parameters from animal surveillance and outbreak data.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",12,85.67,106.67,medium
Model spatial and temporal patterns of animal disease spread to identify high-risk areas and anticipate spillover events.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",13,209.0,332.33,medium
Analyze pathogen genomic and phylogenetic data to reconstruct transmission chains between animal and human hosts.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",13,101.75,376.45,medium
Develop and validate laboratory assays to detect and type pathogens or pathogen-specific antibodies in animal specimens.,subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",14,165.0,1808.0,medium
"Communicate surveillance findings and zoonotic risk assessments to public health authorities, wildlife agencies, and producers.",subfield,Life Sciences,Veterinary Medicine,"Veterinary Infectious Disease, Zoonoses & One Health",10,42.62,275.78,medium
"Formulate hypotheses about how environmental stressors such as heat, cold, or crowding affect animal health, immune function, and disease susceptibility.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,43.32,142.57,medium
"Develop hypotheses about nutritional interventions and their effects on animal health, immunity, and resistance to disease.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,44.58,163.75,medium
Generate hypotheses about herd- and flock-level risk factors for production-limiting and metabolic diseases.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,9,113.75,344.0,medium
"Formulate questions about the effectiveness of preventive interventions such as vaccination programs, parasite control, and biosecurity in reducing disease burden.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,9,41.65,117.48,medium
"Develop hypotheses linking housing, management, and welfare conditions to health outcomes in animal populations.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,52.08,242.42,medium
"Design herd health studies with appropriate randomization or matching at the pen, paddock, or farm level.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,38.58,732.75,medium
Design longitudinal cohort studies to monitor animal morbidity and mortality across production cycles.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,15,94.75,951.75,medium
Establish standardized case definitions and health-scoring systems for animal disease and welfare assessment.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,13,220.25,1400.42,medium
Plan intervention trials evaluating preventive protocols while accounting for clustering within herds and flocks.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,12,79.17,273.5,medium
Prepare animal care and welfare protocols specifying humane endpoints and stress-monitoring procedures.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,9,22.58,567.08,medium
Collect information from local stakeholders through interviews or questionnaires to document their knowledge and practices,domain,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,10,173.58,948.75,medium
Assess the reliability and precision of measurements through replicate testing and comparison with reference procedures,domain,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,34.5,196.5,medium
Derive threshold or reference values from population data to classify individuals or samples,domain,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,10,28.92,87.92,medium
Design observational studies of animal patients to quantify disease occurrence and risk factors,field,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,47.33,481.0,medium
Design studies that evaluate candidate diagnostic or screening tests against a reference standard in animal populations.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,13,38.0,107.08,medium
Administer standardized antigen or immunological challenges to animals to quantify immune responsiveness.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,12,132.02,2723.75,medium
"Collect biological samples such as blood, milk, or feces to assess metabolic status, immune markers, and subclinical disease.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,10,24.78,34.25,medium
Record physiological and behavioral indicators of stress and welfare in animals under varying environmental conditions.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,105.33,174.83,medium
"Measure body condition, growth, and health scores across animal groups over time.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,12,113.9,2798.17,medium
"Compile morbidity, mortality, and treatment records from farms or animal health databases.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,15,97.5,613.33,medium
Analyze disease incidence and health outcomes across treatment groups using mixed models that account for repeated measures and clustering.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,24.83,25.83,medium
Compare morbidity and mortality rates between preventive intervention and control groups.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,9,21.67,21.92,medium
"Evaluate associations between environmental, nutritional, and management factors and animal health outcomes.",subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,11,79.67,124.17,medium
Evaluate the diagnostic accuracy of a test by comparing its results against an established reference standard,domain,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,9,50.58,642.58,medium
Translate herd health findings into evidence-based preventive recommendations for veterinarians and producers.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,10,84.5,764.5,medium
Quantify the economic costs of animal disease and the financial returns of control interventions using economic models.,subfield,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,10,196.0,733.0,medium
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Life Sciences,Veterinary Medicine,,10,117.52,168.52,medium
Prepare grant proposals to secure funding for research projects.,universal,Life Sciences,Veterinary Medicine,,12,101.5,641.75,medium
Coordinate with collaborators across institutions and disciplines.,universal,Life Sciences,Veterinary Medicine,,9,229.75,3935.67,medium
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Life Sciences,Veterinary Medicine,,10,121.08,249.0,medium
"Present research findings at conferences, seminars, and symposia.",universal,Life Sciences,Veterinary Medicine,,10,32.62,111.53,medium
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Life Sciences,Veterinary Medicine,,10,245.83,370.67,medium
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Life Sciences,Veterinary Medicine,,12,23.58,25.42,medium
Develop and deliver course curricula in specialized research areas.,universal,Life Sciences,Veterinary Medicine,,12,226.5,1308.0,medium
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Life Sciences,Veterinary Medicine,,14,41.0,322.25,medium
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Life Sciences,Veterinary Medicine,,12,6.52,341.97,medium
Identify gaps in existing literature to formulate novel research questions.,universal,Life Sciences,Veterinary Medicine,,10,46.08,49.08,medium
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Life Sciences,Veterinary Medicine,,10,33.42,101.92,medium
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Life Sciences,Veterinary Medicine,,10,19.33,944.33,medium
"Provide feedback on student theses, dissertations, and research proposals.",universal,Life Sciences,Veterinary Medicine,,11,8.22,414.68,medium
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Life Sciences,Veterinary Medicine,,11,23.45,26.62,medium
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Life Sciences,Veterinary Medicine,,8,65.75,1102.67,medium
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Life Sciences,Veterinary Medicine,,9,77.38,130.08,medium
Acquire or access primary data sources relevant to research questions.,universal,Life Sciences,Veterinary Medicine,,9,167.83,1796.23,medium
"Manage research budgets, personnel, and project timelines.",universal,Life Sciences,Veterinary Medicine,,12,153.25,5275.3,medium
"Serve on editorial boards, grant review panels, or professional committees.",universal,Life Sciences,Veterinary Medicine,,9,159.7,14155.15,medium
