task,level,domain,field,subfield,relation_aggregate,relation_evaluate,relation_produce,relation_communicate,relation_support,medium_information,medium_materials,medium_people,mode_theoretical,mode_quantitative,mode_qualitative,mode_design,mode_none,cognitive_complexity,physical_deployment,regulatory_restriction,rl_physical_gate_pass,rl_verification,rl_simulability,rl_feedback_density,pasteur_applies,pasteur_understanding,pasteur_use,pasteur_quadrant,years_education,cdr_rl_source
"Analyze the historical formation and operation of institutional, economic, and regulatory practices to show how a political category is constituted and sustained.",subfield,Arts & Humanities,Philosophy,Political Philosophy,30.0,10.0,45.0,15.0,0.0,90.0,0.0,10.0,50.0,5.0,40.0,0.0,5.0,3.05,0.25,0.0,1.0,3.0,7.02,3.43,yes,5.0,2.0,Bohr,20.0,substep_mean
Derive theoretical descriptions of underlying mechanisms or structure and test them against observational or rigorous mathematical constraints,field,Physical Sciences,Physics & Astronomy,,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,55.0,35.0,0.0,5.0,5.0,3.34,0.0,0.0,1.0,5.77,8.64,5.87,yes,5.0,1.0,Bohr,20.0,substep_mean
Design calorimetry experiments to measure heat capacities and phase transition temperatures.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,10.0,0.0,70.0,5.0,15.0,10.0,80.0,10.0,5.0,45.0,0.0,50.0,0.0,2.0,0.49,0.0,0.96,6.9,8.09,6.23,yes,4.0,2.0,Bohr,18.0,substep_mean
Design and configure experimental apparatus and control settings to achieve targeted measurement or manipulation capabilities,field,Physical Sciences,Physics & Astronomy,,10.0,0.0,70.0,5.0,15.0,15.0,80.0,5.0,5.0,15.0,0.0,75.0,5.0,2.33,1.42,0.0,0.66,6.91,5.38,6.62,yes,4.0,3.0,Bohr,16.0,substep_mean
Derive thermodynamic equations of state from partition functions using ensemble theory.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,80.0,15.0,0.0,100.0,0.0,0.0,90.0,10.0,0.0,0.0,0.0,2.25,0.0,0.0,1.0,8.56,9.94,8.3,yes,5.0,1.0,Bohr,18.0,substep_mean
Apply fluctuation-dissipation relations to predict system response to perturbations.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,10.0,0.0,75.0,15.0,0.0,100.0,0.0,0.0,55.0,40.0,0.0,0.0,5.0,2.05,0.0,0.0,1.0,8.7,9.7,7.91,yes,5.0,1.0,Bohr,18.0,substep_mean
Derive phase transition behavior from free energy landscapes and order parameters.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,10.0,0.0,70.0,15.0,5.0,95.0,0.0,5.0,70.0,25.0,0.0,0.0,5.0,2.75,0.0,0.0,1.0,8.4,9.8,7.87,yes,5.0,1.0,Bohr,18.0,substep_mean
Compute entropy and entropy production for systems approaching or away from equilibrium.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,80.0,15.0,0.0,95.0,5.0,0.0,45.0,45.0,0.0,10.0,0.0,1.87,0.0,0.0,1.0,8.22,9.81,8.48,yes,5.0,1.0,Bohr,18.0,substep_mean
Compute free energy differences using thermodynamic integration or perturbation methods.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,85.0,10.0,0.0,95.0,0.0,5.0,10.0,80.0,0.0,10.0,0.0,2.01,0.0,0.0,1.0,7.69,9.13,7.46,yes,4.0,2.0,Bohr,18.0,substep_mean
Derive analytical properties of random network models and their structural measures using generating-function or ensemble methods.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,10.0,0.0,75.0,15.0,0.0,100.0,0.0,0.0,80.0,15.0,0.0,5.0,0.0,2.36,0.0,0.0,1.0,8.84,10.0,7.65,yes,5.0,1.0,Bohr,20.0,substep_mean
Compute structural and topological metrics from empirical network datasets to characterize real-world systems.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,80.0,0.0,15.0,0.0,1.47,0.0,0.0,1.0,8.7,9.82,8.29,yes,4.0,2.0,Bohr,16.0,substep_mean
Propagate thermal fluctuations and measurement uncertainties through thermodynamic calculations.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,5.0,75.0,10.0,5.0,95.0,5.0,0.0,15.0,80.0,0.0,5.0,0.0,1.81,0.0,0.0,1.0,8.8,9.69,8.78,yes,4.0,1.0,Bohr,16.0,substep_mean
Fit equations of state and thermodynamic models to experimental phase behavior data.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,5.0,75.0,10.0,5.0,95.0,0.0,5.0,25.0,65.0,0.0,5.0,5.0,1.55,0.0,0.0,1.0,8.28,9.54,8.47,yes,3.0,4.0,Edison,16.0,substep_mean
Extract critical exponents and scaling parameters from experimental or simulation data.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,5.0,80.0,8.0,2.0,95.0,0.0,5.0,10.0,80.0,0.0,5.0,5.0,1.82,0.0,0.0,1.0,8.46,9.6,7.69,yes,5.0,1.0,Bohr,18.0,substep_mean
Run Monte Carlo simulations to sample equilibrium configurations of statistical mechanical systems.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,0.0,0.0,85.0,10.0,5.0,95.0,0.0,5.0,5.0,80.0,0.0,15.0,0.0,2.0,0.0,0.0,1.0,8.89,10.0,8.55,yes,5.0,1.0,Bohr,16.0,substep_mean
Perform molecular dynamics simulations to study thermodynamic and transport properties.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,5.0,70.0,0.0,25.0,0.0,1.85,0.0,0.0,1.0,8.67,9.67,8.3,yes,4.0,3.0,Bohr,16.0,substep_mean
Simulate phase transitions and critical phenomena using lattice models.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,10.0,70.0,0.0,20.0,0.0,1.86,0.0,0.0,1.0,8.82,10.0,7.86,yes,5.0,1.0,Bohr,18.0,substep_mean
Implement stochastic dynamics simulations to model nonequilibrium processes.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,85.0,5.0,5.0,95.0,0.0,5.0,10.0,50.0,0.0,40.0,0.0,2.12,0.0,0.0,1.0,8.13,9.81,7.9,yes,5.0,1.0,Bohr,16.0,substep_mean
"Benchmark accuracy, cost, and scaling of numerical algorithms against alternative methods on common test problems",subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,10.0,20.0,55.0,10.0,5.0,95.0,0.0,5.0,5.0,70.0,0.0,25.0,0.0,1.8,0.0,0.0,1.0,9.08,9.74,8.7,yes,2.0,4.0,Edison,16.0,substep_mean
Develop numerical algorithms for simulation codes to improve their efficiency and accuracy,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,5.0,70.0,15.0,5.0,95.0,0.0,5.0,15.0,30.0,0.0,55.0,0.0,2.09,0.0,0.0,1.0,8.34,9.34,7.93,yes,3.0,4.0,Edison,18.0,substep_mean
Construct model inputs with prescribed parameters or statistics to set up coarse-grained simulations,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,80.0,5.0,10.0,90.0,5.0,5.0,10.0,25.0,0.0,65.0,0.0,1.98,0.0,0.0,1.0,8.49,9.4,7.75,yes,4.0,2.0,Bohr,18.0,substep_mean
Calibrate parameters of coarse-grained model Hamiltonians using microscopic or critical-behavior reference information.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,10.0,5.0,65.0,15.0,5.0,95.0,0.0,5.0,30.0,55.0,0.0,15.0,0.0,2.16,0.0,0.0,1.0,7.82,8.85,7.12,yes,4.0,3.0,Bohr,20.0,substep_mean
Extract physical parameters and scaling laws from simulated or measured observables by fitting analytic forms,field,Physical Sciences,Physics & Astronomy,,5.0,5.0,70.0,15.0,5.0,95.0,0.0,5.0,15.0,75.0,0.0,5.0,5.0,2.15,0.0,0.0,1.0,7.21,9.59,7.82,yes,5.0,1.0,Bohr,16.0,substep_mean
Calculate equilibrium properties of physical systems using statistical mechanical ensembles.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,5.0,0.0,85.0,10.0,0.0,100.0,0.0,0.0,55.0,35.0,0.0,10.0,0.0,1.64,0.0,0.0,1.0,8.91,10.0,8.24,yes,5.0,1.0,Bohr,16.0,substep_mean
Derive large-deviation and extreme-value statistics of fluctuating observables in stochastic many-body systems.,subfield,Physical Sciences,Physics & Astronomy,Statistical Mechanics & Thermodynamics,10.0,0.0,70.0,20.0,0.0,100.0,0.0,0.0,55.0,40.0,0.0,0.0,5.0,3.0,0.0,0.0,1.0,7.67,9.05,6.46,yes,5.0,1.0,Bohr,20.0,substep_mean
Construct generalized model formulations or decompose fields into constituent modes to expose the structure of a physical system,field,Physical Sciences,Physics & Astronomy,,5.0,0.0,85.0,5.0,5.0,95.0,0.0,5.0,65.0,20.0,0.0,15.0,0.0,2.34,0.0,0.0,1.0,7.49,9.51,7.37,yes,5.0,1.0,Bohr,20.0,substep_mean
Check that theoretical models and protocols satisfy required consistency and performance conditions,field,Physical Sciences,Physics & Astronomy,,5.0,55.0,30.0,5.0,5.0,95.0,0.0,5.0,45.0,35.0,0.0,15.0,5.0,2.5,0.0,0.0,1.0,8.01,9.72,8.19,yes,4.0,2.0,Bohr,18.0,substep_mean
"Characterize or specify the geometry and motion of objects, beams, or boundaries to relate spatial configuration to system behavior",field,Physical Sciences,Physics & Astronomy,,5.0,0.0,75.0,15.0,5.0,90.0,8.0,2.0,25.0,55.0,5.0,15.0,0.0,1.85,0.21,0.0,1.0,8.23,9.28,8.26,yes,4.0,2.0,Bohr,16.0,substep_mean
Derive reduced effective equations or Hamiltonians by eliminating fast or high-energy degrees of freedom from a microscopic description,field,Physical Sciences,Physics & Astronomy,,5.0,0.0,85.0,10.0,0.0,100.0,0.0,0.0,90.0,5.0,0.0,5.0,0.0,2.74,0.0,0.0,1.0,7.58,9.37,7.61,yes,5.0,1.0,Bohr,20.0,substep_mean
Derive exact solutions and spectra of solvable models using analytic mappings and integrability techniques,field,Physical Sciences,Physics & Astronomy,,5.0,0.0,85.0,10.0,0.0,100.0,0.0,0.0,90.0,5.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,7.84,9.87,6.78,yes,5.0,1.0,Bohr,20.0,substep_mean
Design low-temperature experiments using cryostats or dilution refrigerators to access quantum ground states.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,80.0,5.0,10.0,10.0,85.0,5.0,5.0,25.0,0.0,65.0,5.0,2.66,1.04,0.22,0.67,5.8,4.58,4.17,yes,5.0,2.0,Bohr,18.0,substep_mean
Configure magnetic field environments using superconducting magnets for magnetotransport measurements.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,20.0,0.0,75.0,5.0,90.0,5.0,0.0,10.0,0.0,80.0,10.0,1.49,1.66,0.31,0.21,6.82,3.19,5.27,yes,4.0,2.0,Bohr,16.0,substep_mean
Establish ultra-high vacuum conditions for surface-sensitive measurements and thin film growth.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,15.0,0.0,80.0,5.0,90.0,5.0,0.0,5.0,0.0,85.0,10.0,1.21,1.9,0.0,0.0,5.9,2.05,3.67,yes,4.0,2.0,Bohr,14.0,substep_mean
Characterize electrical contact resistance and lead contributions in transport measurement setups.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,5.0,75.0,10.0,5.0,30.0,60.0,10.0,10.0,60.0,5.0,20.0,5.0,1.67,1.9,0.0,0.14,5.7,3.4,4.36,yes,2.0,4.0,Edison,16.0,substep_mean
Measure electrical resistivity and Hall effect as functions of temperature and magnetic field.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,5.0,5.0,15.0,80.0,5.0,0.0,85.0,0.0,15.0,0.0,1.4,1.45,0.01,0.35,6.22,4.86,5.58,yes,5.0,2.0,Bohr,16.0,substep_mean
Acquire X-ray diffraction patterns to determine crystal structure and phase purity.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,5.0,80.0,5.0,5.0,15.0,80.0,5.0,0.0,70.0,5.0,20.0,5.0,1.92,0.46,0.08,0.81,7.47,7.67,7.74,yes,4.0,2.0,Bohr,14.0,substep_mean
Collect magnetization data using SQUID magnetometry or vibrating sample magnetometers.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,0.0,0.0,85.0,5.0,10.0,10.0,85.0,5.0,0.0,90.0,0.0,5.0,5.0,1.46,1.12,0.0,0.44,6.85,5.21,5.27,yes,4.0,2.0,Bohr,14.0,substep_mean
Perform scanning probe microscopy to characterize surface topography and electronic structure.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,2.0,0.0,85.0,5.0,8.0,15.0,80.0,5.0,0.0,55.0,5.0,40.0,0.0,1.96,1.5,0.0,0.3,5.96,4.27,5.25,yes,4.0,2.0,Bohr,16.0,substep_mean
Measure optical spectra using photoluminescence or Raman spectroscopy to probe electronic and vibrational states.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,5.0,5.0,10.0,85.0,5.0,0.0,80.0,5.0,15.0,0.0,1.55,1.34,0.0,0.33,6.42,5.1,6.83,yes,5.0,2.0,Bohr,16.0,substep_mean
Record heat capacity and thermal transport data to characterize thermodynamic properties.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,5.0,5.0,15.0,80.0,5.0,5.0,85.0,0.0,5.0,5.0,2.4,1.96,0.0,0.28,5.4,3.86,4.22,yes,4.0,2.0,Bohr,16.0,substep_mean
"Grow single crystals using flux, Bridgman, or floating zone techniques for bulk property measurements.",subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,5.0,5.0,5.0,90.0,5.0,0.0,10.0,5.0,80.0,5.0,2.52,2.66,0.11,0.18,4.31,2.69,4.37,yes,4.0,2.0,Bohr,16.0,substep_mean
"Deposit thin films using molecular beam epitaxy, sputtering, or pulsed laser deposition.",subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,80.0,5.0,10.0,5.0,90.0,5.0,0.0,15.0,5.0,75.0,5.0,1.95,1.97,0.33,0.14,6.13,3.02,4.07,yes,4.0,3.0,Bohr,16.0,substep_mean
Prepare bulk crystals for measurement by cleaving or stress-annealing to control surfaces and domains.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,0.0,0.0,90.0,0.0,10.0,5.0,90.0,5.0,0.0,10.0,0.0,80.0,10.0,2.0,2.19,0.0,0.0,4.73,2.02,2.91,yes,4.0,2.0,Bohr,14.0,substep_mean
Derive transport coefficients from Boltzmann equations or Kubo formalism to interpret conductivity measurements.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,10.0,0.0,75.0,15.0,0.0,95.0,0.0,5.0,65.0,30.0,0.0,0.0,5.0,2.77,0.0,0.0,1.0,7.05,9.09,7.18,yes,5.0,2.0,Bohr,20.0,substep_mean
Apply mean-field theory to model phase transitions in magnetic or superconducting systems.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,80.0,15.0,0.0,100.0,0.0,0.0,80.0,15.0,0.0,5.0,0.0,2.12,0.0,0.0,1.0,8.52,9.14,7.75,yes,5.0,2.0,Bohr,18.0,substep_mean
Infer inaccessible sample or instrument parameters from characteristic features in the measured response,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,5.0,80.0,5.0,5.0,90.0,5.0,5.0,15.0,75.0,0.0,10.0,0.0,1.81,0.35,0.0,0.83,6.92,7.87,6.94,yes,3.0,3.0,neither,20.0,substep_mean
Compute topological invariants and band-geometric quantities from electronic structure to classify topological phases.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,80.0,15.0,0.0,100.0,0.0,0.0,45.0,40.0,0.0,15.0,0.0,1.97,0.0,0.0,1.0,8.78,9.3,8.1,yes,5.0,2.0,Bohr,18.0,substep_mean
Derive macroscopic response or bulk equilibrium properties of a many-body system from a microscopic model Hamiltonian using theoretical many-body methods.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,10.0,0.0,100.0,0.0,0.0,80.0,15.0,0.0,0.0,5.0,2.68,0.0,0.0,1.0,7.48,9.5,7.94,yes,5.0,1.0,Bohr,20.0,substep_mean
Remove thermal drift and background signals from low-temperature transport measurements.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,0.0,0.0,85.0,5.0,10.0,90.0,10.0,0.0,0.0,90.0,0.0,5.0,5.0,1.6,0.0,0.0,1.0,8.46,9.42,8.7,yes,4.0,2.0,Bohr,16.0,substep_mean
Apply lock-in amplifier techniques to extract weak signals from noisy electrical measurements.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,5.0,5.0,30.0,70.0,0.0,0.0,80.0,0.0,20.0,0.0,1.69,1.57,0.0,0.51,6.5,5.11,5.75,yes,4.0,2.0,Bohr,16.0,substep_mean
"Propagate uncertainties from temperature, field, and geometric factors through derived quantities.",subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,5.0,75.0,10.0,5.0,95.0,5.0,0.0,10.0,85.0,0.0,0.0,5.0,1.74,0.47,0.0,1.0,7.29,8.63,7.26,yes,3.0,2.0,neither,16.0,substep_mean
Fit temperature-dependent resistivity data to theoretical models for electron-phonon or electron-electron scattering.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,10.0,0.0,100.0,0.0,0.0,15.0,80.0,0.0,5.0,0.0,2.05,0.0,0.0,1.0,7.35,9.36,7.55,yes,5.0,1.0,Bohr,16.0,substep_mean
Extract superconducting gap parameters by fitting tunneling or specific heat data to BCS theory.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,75.0,15.0,5.0,95.0,5.0,0.0,15.0,80.0,0.0,0.0,5.0,2.36,0.68,0.0,0.66,6.31,6.5,5.95,yes,5.0,1.0,Bohr,18.0,substep_mean
Refine crystal structures by fitting diffraction data using Rietveld analysis methods.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,5.0,80.0,8.0,2.0,95.0,5.0,0.0,5.0,85.0,0.0,10.0,0.0,1.77,0.37,0.1,0.9,7.78,8.38,7.62,yes,4.0,2.0,Bohr,16.0,substep_mean
Perform density functional theory calculations to predict ground state electronic and magnetic properties.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,5.0,5.0,95.0,5.0,0.0,10.0,55.0,0.0,35.0,0.0,1.92,0.0,0.0,1.0,8.3,9.04,7.32,yes,5.0,2.0,Bohr,16.0,substep_mean
Simulate quantum transport through nanostructures using non-equilibrium Green's function methods.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,80.0,15.0,0.0,95.0,0.0,5.0,20.0,55.0,0.0,20.0,5.0,2.38,0.0,0.0,1.0,8.5,9.72,8.23,yes,4.0,4.0,Pasteur,18.0,substep_mean
Run Monte Carlo simulations to model thermodynamic properties of spin systems.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,10.0,55.0,0.0,35.0,0.0,1.96,0.0,0.0,1.0,8.91,10.0,8.43,yes,5.0,1.0,Bohr,16.0,substep_mean
Design idealized model systems with tailored conditions to isolate specific mechanisms in targeted numerical studies,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,10.0,0.0,75.0,10.0,5.0,95.0,0.0,5.0,30.0,20.0,0.0,50.0,0.0,2.74,0.0,0.0,1.0,5.46,8.65,5.09,yes,5.0,1.0,Bohr,20.0,substep_mean
Solve quantum impurity models with non-perturbative renormalization-group or diagrammatic techniques to obtain spectral functions and low-energy scales.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,8.0,2.0,100.0,0.0,0.0,40.0,45.0,0.0,15.0,0.0,2.46,0.0,0.0,1.0,8.02,9.73,8.22,yes,5.0,1.0,Bohr,20.0,substep_mean
Calculate electronic band structures using tight-binding or density functional theory methods to predict material properties.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,0.0,85.0,10.0,0.0,95.0,5.0,0.0,25.0,35.0,0.0,40.0,0.0,1.98,0.0,0.0,1.0,8.35,8.76,7.95,yes,4.0,3.0,Bohr,18.0,substep_mean
Develop new analytical calculational formalisms to extend theory into previously inaccessible regimes,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,10.0,0.0,75.0,15.0,0.0,100.0,0.0,0.0,90.0,5.0,0.0,5.0,0.0,3.5,0.0,0.0,1.0,5.12,8.31,4.63,yes,5.0,1.0,Bohr,20.0,substep_mean
Formulate and symmetry-classify order parameters to characterize complex ordered phases.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,10.0,0.0,75.0,15.0,0.0,100.0,0.0,0.0,85.0,5.0,0.0,10.0,0.0,2.86,0.0,0.0,1.0,7.17,8.84,7.57,yes,5.0,1.0,Bohr,20.0,substep_mean
Fabricate micro- and nanoscale device structures using lithography and etching techniques.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,0.0,0.0,90.0,5.0,5.0,5.0,90.0,5.0,0.0,5.0,0.0,90.0,5.0,1.71,1.8,0.14,0.15,5.55,3.31,3.98,yes,4.0,3.0,Bohr,14.0,substep_mean
Calibrate temperature sensors and thermometry systems across cryogenic to room temperature ranges.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,5.0,5.0,75.0,5.0,10.0,15.0,80.0,5.0,0.0,70.0,0.0,30.0,0.0,1.76,1.4,0.05,0.3,6.41,4.32,4.92,yes,2.0,3.0,neither,14.0,substep_mean
"Maintain cryogenic systems including vacuum integrity, cold traps, and thermal shielding.",subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,0.0,0.0,5.0,0.0,95.0,5.0,90.0,5.0,0.0,5.0,0.0,15.0,80.0,1.54,2.21,0.25,0.04,5.19,2.37,3.8,no,,,n.a.,14.0,substep_mean
Service thin film deposition systems including target replacement and chamber conditioning.,subfield,Physical Sciences,Physics & Astronomy,Condensed Matter Physics,0.0,0.0,5.0,0.0,95.0,0.0,95.0,5.0,0.0,0.0,0.0,5.0,95.0,1.67,1.85,0.03,0.07,6.04,2.46,3.65,no,,,n.a.,14.0,substep_mean
Identify known physical systems or observations that realize a newly proposed theoretical structure.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,45.0,10.0,30.0,15.0,0.0,90.0,5.0,5.0,55.0,25.0,10.0,5.0,5.0,2.84,0.0,0.0,1.0,4.85,8.14,5.01,yes,5.0,1.0,Bohr,20.0,substep_mean
Design trigger systems to select rare physics events from high-rate collision data.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,5.0,70.0,10.0,10.0,90.0,10.0,0.0,5.0,30.0,0.0,60.0,5.0,2.6,0.0,0.45,1.0,7.09,7.36,6.83,yes,4.0,3.0,Bohr,18.0,substep_mean
Optimize beam parameters and collision configurations to maximize luminosity and data quality.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,5.0,70.0,10.0,10.0,30.0,60.0,10.0,5.0,40.0,0.0,55.0,0.0,2.7,0.51,1.25,0.83,7.27,5.79,6.65,yes,4.0,2.0,Bohr,20.0,substep_mean
Characterize tracking detector alignment and resolution using reconstructed particle trajectories.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,5.0,70.0,15.0,5.0,90.0,5.0,5.0,5.0,80.0,0.0,10.0,5.0,2.2,0.0,0.0,1.0,7.43,8.51,6.8,yes,2.0,4.0,Edison,18.0,substep_mean
"Collect collision event data using multi-layer detector systems including trackers, calorimeters, and muon chambers.",subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,0.0,0.0,90.0,2.0,8.0,20.0,75.0,5.0,0.0,30.0,0.0,70.0,0.0,1.67,0.12,0.82,0.93,7.2,7.12,7.01,yes,5.0,1.0,Bohr,16.0,substep_mean
"Derive predictions for particle masses, lifetimes, and branching ratios from the Standard Model or extensions.",subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,10.0,0.0,75.0,15.0,0.0,100.0,0.0,0.0,55.0,40.0,0.0,5.0,0.0,2.79,0.0,0.0,1.0,7.62,9.76,7.78,yes,5.0,1.0,Bohr,20.0,substep_mean
Apply perturbative QCD calculations to predict jet production and hadronization processes.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,0.0,80.0,10.0,5.0,95.0,0.0,5.0,45.0,35.0,0.0,15.0,5.0,2.85,0.0,0.0,1.0,7.47,9.62,6.95,yes,5.0,1.0,Bohr,20.0,substep_mean
Compute strongly-coupled gauge-theory observables from dual gravitational backgrounds using holographic duality.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,0.0,80.0,15.0,0.0,100.0,0.0,0.0,65.0,30.0,0.0,5.0,0.0,3.0,0.0,0.0,1.0,7.49,9.34,6.82,yes,5.0,1.0,Bohr,20.0,substep_mean
Determine particle identification efficiency and misidentification rates for detector subsystems.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,5.0,75.0,10.0,5.0,90.0,8.0,2.0,2.0,80.0,3.0,15.0,0.0,2.25,0.0,0.0,1.0,7.07,8.39,6.45,yes,3.0,3.0,neither,18.0,substep_mean
Apply detector response corrections to reconstruct particle energies and momenta from raw signals.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,5.0,80.0,5.0,5.0,90.0,10.0,0.0,5.0,70.0,0.0,25.0,0.0,1.99,0.0,0.0,1.0,8.04,9.02,7.43,yes,5.0,1.0,Bohr,18.0,substep_mean
Remove pile-up contributions from overlapping collision events in high-luminosity data.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,5.0,75.0,10.0,5.0,95.0,5.0,0.0,5.0,55.0,0.0,35.0,5.0,1.67,0.0,0.0,1.0,8.27,8.45,7.39,yes,4.0,2.0,Bohr,18.0,substep_mean
"Propagate systematic uncertainties from detector effects, theoretical inputs, and background estimates.",subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,5.0,80.0,8.0,2.0,95.0,0.0,5.0,5.0,90.0,0.0,5.0,0.0,2.24,0.0,0.0,1.0,7.78,8.79,7.19,yes,5.0,1.0,Bohr,18.0,substep_mean
Evaluate statistical significance of observed signals against background-only hypotheses.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,10.0,75.0,8.0,2.0,95.0,0.0,5.0,5.0,90.0,0.0,3.0,2.0,2.75,0.0,0.1,1.0,7.14,8.83,7.53,yes,5.0,1.0,Bohr,18.0,substep_mean
Fit signal and background models to invariant mass distributions to extract particle yields.,subfield,Physical Sciences,Physics & Astronomy,Particle & High-Energy Physics,5.0,0.0,80.0,15.0,0.0,100.0,0.0,0.0,5.0,90.0,0.0,5.0,0.0,2.59,0.0,0.0,1.0,8.21,9.71,8.86,yes,5.0,1.0,Bohr,16.0,substep_mean
