task,level,domain,field,subfield,importance,pct_researchers,frequency,classification
"Serve on editorial boards, grant review panels, or professional committees.",universal,Social Sciences,Economics,Political Economy,3,85,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Social Sciences,Economics,Political Economy,4,90,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Social Sciences,Economics,Political Economy,4,90,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Social Sciences,Economics,Political Economy,3,92,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Social Sciences,Economics,Political Economy,3,85,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Social Sciences,Economics,Political Economy,4,97,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Social Sciences,Economics,Political Economy,2,60,2,Supplemental
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Social Sciences,Economics,Political Economy,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Social Sciences,Economics,Political Economy,5,100,5,Core
"Compare how the same theme, content, or interpretive claim is realized across different artistic media or formats in order to assess what the medium contributes to meaning and whether claims hold across media.",field,Arts & Humanities,Literature,Narrative Studies,4,92,3,Core
Formulate hypotheses about molecular signaling pathways underlying neuronal dysfunction or degeneration.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,5,100,4,Core
Develop hypotheses linking ion channel or receptor dysfunction to neurological disease phenotypes.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,85,3,Core
Propose mechanisms by which neuroinflammatory processes contribute to neuronal damage or repair.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,85,3,Core
Design in vitro experiments using primary neuronal cultures or neural cell lines to test mechanistic hypotheses.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,5,98,4,Core
Plan animal model studies with appropriate controls to investigate neural circuit function or disease mechanisms.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,92,3,Core
Design electrophysiological recording protocols to assess neuronal activity or synaptic transmission.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,75,3,Core
"Obtain IACUC approval for animal protocols involving surgical procedures, behavioral testing, or tissue collection.",subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,90,2,Core
Prepare institutional biosafety committee documentation for viral vector use in neural tissue.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,3,85,2,Core
"Harvest neural tissue samples from animal models for molecular, histological, or biochemical analysis.",subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,92,3,Core
Prepare and maintain primary neuronal or glial cell cultures for experimental manipulation.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,90,4,Core
Generate and validate transgenic or knockout animal models for studying gene function in the nervous system.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,80,2,Core
Acquire confocal or fluorescence microscopy images of neural tissue to visualize cellular structures and protein localization.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,5,97,4,Core
Collect electrophysiological recordings from neurons or brain slices to measure electrical activity patterns.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,70,3,Core
"Integrate gene expression, protein, and electrophysiological data from multiple experimental platforms.",subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,92,3,Core
Isolate defined cell populations or subcellular fractions from neural samples for downstream molecular analysis.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,90,3,Core
"Generate cell lines heterologously expressing receptors, channels, or other proteins for functional characterization.",subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,3,70,2,Core
"Analyze time-course data of neuronal survival, axon regeneration, or disease progression in experimental models.",subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,4,90,3,Core
"Quantify treatment effects on neuronal viability, synaptic function, or molecular markers while controlling for experimental variables.",subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,5,98,4,Core
Perform dose-response analyses for pharmacological agents targeting neural receptors or signaling pathways.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,3,80,3,Core
Measure systemic physiological parameters in animal models to track disease-model induction and progression.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,3,72,3,Core
Fit quantitative models to electrophysiological recordings to estimate synaptic and membrane biophysical parameters,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,3,60,3,Supplemental
Characterize and calibrate the light-response properties of fluorescent indicators or light-activated proteins.,subfield,Life Sciences,Neuroscience,Cellular & Molecular Neuroscience,3,60,2,Supplemental
Link and aggregate records across data sources and levels of analysis to build contextual measures and analytic units for multilevel analysis,field,Social Sciences,Sociology,Urban Sociology,4,92,3,Core
"Assess heterogeneity in estimated associations across subgroups or contexts using interaction terms, stratified models, or other tests of effect modification.",field,Social Sciences,Sociology,Urban Sociology,4,93,3,Core
Critically appraise the measures and methods used in a body of research to assess their validity,field,Social Sciences,Sociology,Urban Sociology,5,100,4,Core
"Use visual methods, such as photo elicitation or participant-produced photography, to generate data on everyday experience",field,Social Sciences,Sociology,Urban Sociology,2,55,2,Supplemental
Recruit and train community members or lay fieldworkers to administer protocols and collect data,field,Social Sciences,Sociology,Urban Sociology,3,70,2,Core
Critically evaluate competing theoretical accounts or concepts to assess their explanatory adequacy,field,Social Sciences,Sociology,Urban Sociology,5,100,4,Core
Translate qualitative materials into the language of analysis while preserving fidelity of meaning,field,Social Sciences,Sociology,Urban Sociology,3,85,3,Core
Construct network measures from relational data to characterize actors' positions and connections,field,Social Sciences,Sociology,Urban Sociology,3,65,2,Supplemental
Compile quantitative and descriptive data from published studies and reference databases into standardized datasets for cross-source synthesis,field,Physical Sciences,Environmental Science,Soil & Land Use Science,4,100,4,Core
Quantify taxonomic and functional marker genes in environmental samples using targeted molecular assays,field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,62,2,Supplemental
Generate nucleic acid sequence data from environmental samples to characterize microbial community composition,field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,60,2,Supplemental
Calculate taxonomic and functional diversity metrics from community abundance data,field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,70,3,Core
Upscale local measurements to regional estimates by weighting them by the extent they represent,field,Physical Sciences,Environmental Science,Soil & Land Use Science,4,92,3,Core
"Estimate emissions or material flows by applying conversion factors to activity, population, and statistical data",field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,85,3,Core
Compare measured values against regulatory or reference thresholds to judge quality and suitability,field,Physical Sciences,Environmental Science,Soil & Land Use Science,4,97,4,Core
"Compute indices from hydro-meteorological time series to characterize regimes, extremes, and hazard conditions",field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,88,3,Core
Estimate system-level values or parameters from available data using established estimation methods,field,Physical Sciences,Environmental Science,Soil & Land Use Science,4,98,4,Core
"Administer surveys, interviews, or participatory workshops with communities and stakeholders to collect socioeconomic, behavioral, and perception data",field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,82,2,Core
"Elicit structured expert judgment to define assessment inputs, weights, and priorities where empirical data are sparse",field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,88,2,Core
Code qualitative interview and document text into thematic categories to identify patterns across accounts,field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,72,2,Core
"Analyze policy, legal, and institutional arrangements to assess governance capacity and actor responsibilities",field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,85,3,Core
Aggregate normalized indicators into composite indices to rank or classify units,field,Physical Sciences,Environmental Science,Soil & Land Use Science,3,86,3,Core
Develop conceptual frameworks and typologies that sort system elements into standardized categories,field,Physical Sciences,Environmental Science,Soil & Land Use Science,4,94,3,Core
Compile secondary records and statistics from administrative and archival sources into standardized datasets for analysis,field,Physical Sciences,Environmental Science,Soil & Land Use Science,4,96,3,Core
Formulate management and policy recommendations from assessment results to guide interventions,field,Physical Sciences,Environmental Science,Soil & Land Use Science,5,100,3,Core
Design observational studies of animal patients to quantify disease occurrence and risk factors,field,Life Sciences,Veterinary Medicine,Veterinary Preventive Medicine & Animal Health,4,95,3,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,100,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,3,85,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,98,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,92,2,Core
Acquire or access primary data sources relevant to research questions.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,97,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,95,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,96,4,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,99,4,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,3,78,3,Core
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,100,4,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,96,3,Core
"Present research findings at conferences, seminars, and symposia.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,99,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,99,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,3,94,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,3,85,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,90,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,3,82,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,90,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,88,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,98,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,3,84,3,Core
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Life Sciences,Neuroscience,Cognitive Neuroscience,5,100,4,Core
"Harvest, process, and weigh plant material from sample plots to quantify biomass and yield",field,Life Sciences,Agricultural Sciences,Animal Science,3,72,2,Core
Survey organisms in field plots to identify species and record community composition and abundance,field,Life Sciences,Agricultural Sciences,Animal Science,3,70,2,Core
Derive standardized classifications or parameter estimates from measured data to characterize samples and populations,field,Life Sciences,Agricultural Sciences,Animal Science,4,95,3,Core
Prepare experimental materials to specified compositions for use in trials,field,Life Sciences,Agricultural Sciences,Animal Science,4,97,3,Core
Assemble plant material and apply management operations to establish and maintain experimental plantings,field,Life Sciences,Agricultural Sciences,Animal Science,3,65,2,Supplemental
Characterize microbial isolates with laboratory assays to determine their functional traits,field,Life Sciences,Agricultural Sciences,Animal Science,3,78,3,Core
Compute derived indices from primary measurements using established formulas to characterize system performance,field,Life Sciences,Agricultural Sciences,Animal Science,4,96,3,Core
"Develop and apply laboratory procedures to detect, identify, or test agents against target microorganisms",field,Life Sciences,Agricultural Sciences,Animal Science,3,80,3,Core
Assess measured or compiled data against reference values or decision models to judge adequacy and performance,field,Life Sciences,Agricultural Sciences,Animal Science,4,100,4,Core
Apply established analytical procedures to existing records or samples to characterize system properties,field,Life Sciences,Agricultural Sciences,Animal Science,4,98,3,Core
Engage with behavioral or institutional theories when framing research questions.,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,97,3,Core
"Consider whether findings will generalize across populations, time periods, or contexts.",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,98,3,Core
"Design surveys or questionnaires to measure attitudes, behaviors, or experiences.",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,95,3,Core
Design interview or focus group protocols to collect qualitative data.,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,92,3,Core
Obtain IRB approval and informed consent for research with human subjects.,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,96,2,Core
"Collect primary data through surveys, interviews, or observations of people.",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,95,3,Core
"Acquire secondary data from administrative records, censuses, or public datasets.",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,90,3,Core
Clean and recode self-reported or text-based responses.,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,92,3,Core
Code qualitative data from interviews or open-ended responses.,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,90,3,Core
Address selection bias and confounding when analyzing observational data.,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,93,3,Core
Coordinate with organizations for data access or to recruit study participants.,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,88,3,Core
"Develop conceptual frameworks, typologies, or definitions by synthesizing existing theory to organize and explain a focal phenomenon",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,96,3,Core
Translate research findings into actionable recommendations or guidelines for practitioners and policymakers,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,94,3,Core
Use the researcher's own lived and embodied experience as primary data for analysis,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,2,60,2,Supplemental
"Analyze documentary and archival sources, such as policy texts or legislation, as primary evidence on institutional practices and contexts",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,88,3,Core
"Corroborate findings by triangulating independent data sources, methods, or informants to establish the credibility of interpretations",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,94,3,Core
Derive analytic variables or indicators from existing records and data sources to operationalize study constructs,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,90,3,Core
Design sampling and eligibility criteria to select participants or study units for data collection,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,95,3,Core
Assess the reliability and validity of measurement instruments before substantive analysis,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,4,93,3,Core
"Select and justify cases, sites, or jurisdictions on explicit criteria to structure comparison",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,88,3,Core
"Reconstruct the historical development of institutions, practices, or ideas from documentary and archival sources to explain their present form",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,78,2,Core
Design and deliver instructional or behavioral intervention protocols to serve as the treatment under study,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,70,2,Core
Combine multiple indicators into composite indices to measure latent constructs and compare units,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,82,2,Core
Validate constructed measures by comparing them against independent data sources or reference values to establish their reliability,domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,85,3,Core
"Evaluate programs, policies, or rules against their stated objectives using empirical evidence on how they operate in practice",domain,Social Sciences,Communication & Media Studies,Mass Communication & Journalism,3,85,3,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,5,100,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,95,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,97,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,3,90,2,Core
Acquire or access primary data sources relevant to research questions.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,97,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,95,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,95,3,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,5,97,4,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,3,70,2,Core
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,99,3,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,92,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,100,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,5,100,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,97,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,3,88,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,92,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,95,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,95,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,3,90,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,99,4,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,2,65,2,Supplemental
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,4,100,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Social Sciences,Business & Management,Entrepreneurship & Innovation,5,100,4,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Arts & Humanities,Literature,English Literature,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Arts & Humanities,Literature,English Literature,3,85,3,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Arts & Humanities,Literature,English Literature,4,98,3,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Arts & Humanities,Literature,English Literature,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Arts & Humanities,Literature,English Literature,2,55,2,Supplemental
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Arts & Humanities,Literature,English Literature,2,40,2,Supplemental
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Arts & Humanities,Literature,English Literature,2,30,1,Supplemental
Acquire or access primary data sources relevant to research questions.,universal,Arts & Humanities,Literature,English Literature,4,95,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Arts & Humanities,Literature,English Literature,3,75,3,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Arts & Humanities,Literature,English Literature,2,35,2,Supplemental
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Arts & Humanities,Literature,English Literature,2,25,1,Supplemental
Develop and validate computational models to simulate or predict phenomena.,universal,Arts & Humanities,Literature,English Literature,1,15,1,Supplemental
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Arts & Humanities,Literature,English Literature,2,45,2,Supplemental
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Arts & Humanities,Literature,English Literature,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Arts & Humanities,Literature,English Literature,3,85,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Arts & Humanities,Literature,English Literature,4,98,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Arts & Humanities,Literature,English Literature,4,97,2,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Arts & Humanities,Literature,English Literature,3,90,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Arts & Humanities,Literature,English Literature,3,85,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Arts & Humanities,Literature,English Literature,4,88,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Arts & Humanities,Literature,English Literature,4,95,4,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Arts & Humanities,Literature,English Literature,4,95,4,Core
"Manage research budgets, personnel, and project timelines.",universal,Arts & Humanities,Literature,English Literature,3,70,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Arts & Humanities,Literature,English Literature,3,88,3,Core
"Maintain laboratory equipment, software systems, or research infrastructure.",universal,Arts & Humanities,Literature,English Literature,2,40,2,Supplemental
"Learn the concepts, methods, and tools needed to carry out the research.",universal,Arts & Humanities,Literature,English Literature,4,98,4,Core
"Keep up with new findings, methods, and debates relevant to the research area.",universal,Arts & Humanities,Literature,English Literature,5,100,5,Core
"Derive predictions from physical laws, mathematical models, or first principles.",domain,Physical Sciences,Engineering,Mechanical Engineering,5,100,5,Core
Design experiments with controlled environmental conditions.,domain,Physical Sciences,Engineering,Mechanical Engineering,4,95,3,Core
Calibrate instruments and characterize measurement error.,domain,Physical Sciences,Engineering,Mechanical Engineering,4,92,3,Core
"Follow safety protocols for hazardous materials, radiation, or high-energy equipment.",domain,Physical Sciences,Engineering,Mechanical Engineering,4,100,4,Core
"Collect experimental data using detectors, sensors, or spectrometers.",domain,Physical Sciences,Engineering,Mechanical Engineering,4,95,4,Core
"Collect observational data from telescopes, satellites, or field instruments.",domain,Physical Sciences,Engineering,Mechanical Engineering,2,40,2,Supplemental
Synthesize materials or compounds for experimental study.,domain,Physical Sciences,Engineering,Mechanical Engineering,3,55,2,Supplemental
Apply calibration corrections and noise filtering to raw measurements.,domain,Physical Sciences,Engineering,Mechanical Engineering,4,90,3,Core
Quantify measurement uncertainty and propagate errors through calculations.,domain,Physical Sciences,Engineering,Mechanical Engineering,4,97,4,Core
Fit theoretical models to experimental or observational data.,domain,Physical Sciences,Engineering,Mechanical Engineering,4,97,4,Core
Run numerical simulations of physical systems.,domain,Physical Sciences,Engineering,Mechanical Engineering,5,98,5,Core
Maintain experimental apparatus and laboratory equipment.,domain,Physical Sciences,Engineering,Mechanical Engineering,3,95,4,Core
"Test materials and devices under prolonged, repeated, or stressed operating and exposure conditions to quantify performance degradation and durability",domain,Physical Sciences,Engineering,Mechanical Engineering,4,90,3,Core
Interpret measured spectra to determine composition and structural characteristics of samples,domain,Physical Sciences,Engineering,Mechanical Engineering,3,70,2,Core
"Prepare solid samples by crushing, sectioning, or mounting to produce standardized material for laboratory analysis or experiments",domain,Physical Sciences,Engineering,Mechanical Engineering,3,75,3,Core
"Compare results against independent datasets, models, or reference cases to quantify agreement and validate them",domain,Physical Sciences,Engineering,Mechanical Engineering,5,100,4,Core
"Vary model inputs, parameters, or forcings systematically to quantify their influence on predicted outcomes",domain,Physical Sciences,Engineering,Mechanical Engineering,4,96,4,Core
Quantify structural and morphological features from image data using image-analysis methods to characterize samples,domain,Physical Sciences,Engineering,Mechanical Engineering,3,78,3,Core
"Compare candidate materials, designs, or technologies against defined technical and application criteria to assess relative suitability",domain,Physical Sciences,Engineering,Mechanical Engineering,4,100,3,Core
Compute statistical and spectral descriptors from measured or simulated signals to characterize system behavior,domain,Physical Sciences,Engineering,Mechanical Engineering,4,92,3,Core
Build custom apparatus and prototype hardware to enable experiments and measurements beyond commercial capability,domain,Physical Sciences,Engineering,Mechanical Engineering,4,88,3,Core
Identify gaps in existing literature to formulate novel research questions.,universal,Social Sciences,Geography,Physical Geography,5,100,4,Core
"Generate hypotheses based on theoretical frameworks, observations, or preliminary data.",universal,Social Sciences,Geography,Physical Geography,5,100,4,Core
Brainstorm potential research directions through discussions with colleagues and peers.,universal,Social Sciences,Geography,Physical Geography,4,100,4,Core
Review and synthesize the relevant literature to situate a research question within existing knowledge.,universal,Social Sciences,Geography,Physical Geography,5,100,4,Core
Observe real-world phenomena to identify patterns worthy of scientific investigation.,universal,Social Sciences,Geography,Physical Geography,4,95,3,Core
Design data collection protocols and instruments to ensure validity and reproducibility.,universal,Social Sciences,Geography,Physical Geography,4,97,3,Core
Obtain ethical approvals and informed consent for studies involving human subjects.,universal,Social Sciences,Geography,Physical Geography,2,45,1,Supplemental
Acquire or access primary data sources relevant to research questions.,universal,Social Sciences,Geography,Physical Geography,5,100,3,Core
"Curate and manage datasets, ensuring proper documentation and version control.",universal,Social Sciences,Geography,Physical Geography,4,97,4,Core
Clean and preprocess raw data to prepare for statistical or computational analysis.,universal,Social Sciences,Geography,Physical Geography,4,98,4,Core
Apply statistical methods to test hypotheses and estimate effect sizes.,universal,Social Sciences,Geography,Physical Geography,4,97,4,Core
Develop and validate computational models to simulate or predict phenomena.,universal,Social Sciences,Geography,Physical Geography,4,85,3,Core
"Visualize data and results using graphs, tables, and figures for interpretation.",universal,Social Sciences,Geography,Physical Geography,5,100,4,Core
"Draft manuscripts describing research questions, methods, results, and interpretations.",universal,Social Sciences,Geography,Physical Geography,5,100,4,Core
Prepare grant proposals to secure funding for research projects.,universal,Social Sciences,Geography,Physical Geography,4,96,2,Core
"Present research findings at conferences, seminars, and symposia.",universal,Social Sciences,Geography,Physical Geography,4,99,2,Core
Respond to peer reviewer comments and revise manuscripts for publication.,universal,Social Sciences,Geography,Physical Geography,4,99,3,Core
Evaluate manuscripts submitted to journals for scientific rigor and contribution.,universal,Social Sciences,Geography,Physical Geography,3,93,3,Core
"Serve on editorial boards, grant review panels, or professional committees.",universal,Social Sciences,Geography,Physical Geography,3,80,2,Core
Supervise graduate students and postdoctoral researchers on research projects.,universal,Social Sciences,Geography,Physical Geography,4,88,4,Core
Develop and deliver course curricula in specialized research areas.,universal,Social Sciences,Geography,Physical Geography,3,82,3,Core
"Provide feedback on student theses, dissertations, and research proposals.",universal,Social Sciences,Geography,Physical Geography,4,88,3,Core
"Manage research budgets, personnel, and project timelines.",universal,Social Sciences,Geography,Physical Geography,3,90,3,Core
Coordinate with collaborators across institutions and disciplines.,universal,Social Sciences,Geography,Physical Geography,4,99,4,Core
